game,season,home_team,away_team,starting_min,end_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home,pct_home,pct_2_home,pct_3_home,fga_visitor,fta_visitor,fgm_visitor,fga_2_visitor,fgm_2_visitor,fga_3_visitor,fgm_3_visitor,ast_visitor,blk_visitor,pf_visitor,reb_visitor,dreb_visitor,oreb_visitor,to_visitor,pts_visitor,pct_visitor,pct_2_visitor,pct_3_visitor,outcome
201112260DAL,2012,DAL,DEN,0,5,Brendan Haywood,Delonte West,Dirk Nowitzki,Jason Kidd,Shawn Marion,Arron Afflalo,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,11,3,5,9,4,2,1,3,1,0,6,5,1,1,11,0.45454545454545453,0.4444444444444444,0.5,11,2,4,8,3,3,1,2,0,0,8,6,2,2,9,0.36363636363636365,0.375,0.3333333333333333,1
201112260DAL,2012,DAL,DEN,6,6,Brendan Haywood,Delonte West,Dirk Nowitzki,Jason Terry,Vince Carter,Arron Afflalo,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,2,0,1,1,1,1,0,1,0,0,0,0,0,0,2,0.5,1.0,0.0,2,0,2,1,1,1,1,1,0,0,1,1,0,0,5,1.0,1.0,1.0,-1
201112260DAL,2012,DAL,DEN,7,8,Brendan Haywood,Delonte West,Dirk Nowitzki,Jason Terry,Vince Carter,Andre Miller,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,4,0,1,3,0,1,1,0,0,0,1,1,0,0,3,0.25,0.0,1.0,4,0,2,3,2,1,0,0,1,0,4,3,1,1,4,0.5,0.6666666666666666,0.0,-1
201112260DAL,2012,DAL,DEN,9,10,Brendan Haywood,Delonte West,Jason Terry,Lamar Odom,Vince Carter,Al Harrington,Andre Miller,Danilo Gallinari,Nene Hilario,Ty Lawson,3,0,1,2,1,1,0,0,0,0,2,2,0,1,2,0.3333333333333333,0.5,0.0,4,2,2,3,2,1,0,0,0,0,2,2,0,0,4,0.5,0.6666666666666666,0.0,-1
201112260DAL,2012,DAL,DEN,11,11,Delonte West,Ian Mahinmi,Jason Terry,Lamar Odom,Vince Carter,Al Harrington,Andre Miller,Chris Andersen,Danilo Gallinari,Rudy Fernandez,2,0,1,1,0,1,1,1,0,0,0,0,0,0,3,0.5,0.0,1.0,2,0,2,0,0,2,2,2,0,0,1,1,0,0,6,1.0,0.0,1.0,-1
201112260DAL,2012,DAL,DEN,12,15,Dirk Nowitzki,Jason Terry,Lamar Odom,Rodrigue Beaubois,Shawn Marion,Al Harrington,Andre Miller,Arron Afflalo,Chris Andersen,Rudy Fernandez,6,1,5,5,5,1,0,2,0,0,1,1,0,1,10,0.8333333333333334,1.0,0.0,9,0,5,9,5,0,0,1,0,0,4,1,3,0,10,0.5555555555555556,0.5555555555555556,0.0,-1
201112260DAL,2012,DAL,DEN,16,16,Dirk Nowitzki,Jason Kidd,Jason Terry,Lamar Odom,Shawn Marion,Al Harrington,Andre Miller,Arron Afflalo,Chris Andersen,Rudy Fernandez,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,2,0,1,0,0,2,1,1,0,0,0,0,0,0,3,0.5,0.0,0.5,-1
201112260DAL,2012,DAL,DEN,17,17,Dirk Nowitzki,Jason Kidd,Jason Terry,Lamar Odom,Shawn Marion,Al Harrington,Andre Miller,Arron Afflalo,Nene Hilario,Rudy Fernandez,2,0,2,1,1,1,1,1,0,0,0,0,0,0,5,1.0,1.0,1.0,2,0,2,1,1,1,1,1,0,0,0,0,0,0,5,1.0,1.0,1.0,-1
201112260DAL,2012,DAL,DEN,18,19,Brendan Haywood,Jason Kidd,Jason Terry,Lamar Odom,Shawn Marion,Al Harrington,Andre Miller,Arron Afflalo,Nene Hilario,Rudy Fernandez,4,2,0,2,0,2,0,0,1,0,3,0,3,1,0,0.0,0.0,0.0,2,0,2,2,2,0,0,0,0,0,3,3,0,1,4,1.0,1.0,0.0,-1
201112260DAL,2012,DAL,DEN,20,20,Brendan Haywood,Jason Kidd,Jason Terry,Lamar Odom,Shawn Marion,Andre Miller,Danilo Gallinari,Nene Hilario,Rudy Fernandez,Ty Lawson,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,3,0,2,3,2,0,0,1,0,0,1,1,0,0,4,0.6666666666666666,0.6666666666666666,0.0,-1
201112260DAL,2012,DAL,DEN,21,22,Brendan Haywood,Dirk Nowitzki,Jason Kidd,Shawn Marion,Vince Carter,Andre Miller,Danilo Gallinari,Nene Hilario,Rudy Fernandez,Ty Lawson,2,0,0,1,0,1,0,0,0,0,2,2,0,3,0,0.0,0.0,0.0,4,2,2,2,1,2,1,2,0,0,2,2,0,0,5,0.5,0.5,0.5,-1
201112260DAL,2012,DAL,DEN,23,23,Brendan Haywood,Dirk Nowitzki,Jason Kidd,Jason Terry,Lamar Odom,Al Harrington,Danilo Gallinari,Nene Hilario,Rudy Fernandez,Ty Lawson,1,1,0,1,0,0,0,0,1,0,1,1,0,2,0,0.0,0.0,0.0,2,2,1,2,1,0,0,1,0,0,1,1,0,0,2,0.5,0.5,0.0,-1
201112260DAL,2012,DAL,DEN,24,24,Brendan Haywood,Dirk Nowitzki,Dominique Jones,Jason Kidd,Lamar Odom,Al Harrington,Arron Afflalo,Danilo Gallinari,Nene Hilario,Ty Lawson,3,0,0,1,0,2,0,0,0,0,2,1,1,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0.0,0.0,0.0,-1
201112260DAL,2012,DAL,DEN,25,28,Brendan Haywood,Dirk Nowitzki,Jason Kidd,Jason Terry,Shawn Marion,Arron Afflalo,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,6,4,2,3,1,3,1,1,0,0,5,4,1,1,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,7,2,4,4,3,3,1,3,0,0,3,3,0,1,9,0.5714285714285714,0.75,0.3333333333333333,-1
201112260DAL,2012,DAL,DEN,29,30,Brian Cardinal,Dirk Nowitzki,Jason Kidd,Jason Terry,Shawn Marion,Arron Afflalo,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,4,0,3,2,2,2,1,3,0,0,0,0,0,1,7,0.75,1.0,0.5,2,2,2,1,1,1,1,1,0,0,1,1,0,2,5,1.0,1.0,1.0,1
201112260DAL,2012,DAL,DEN,31,31,Brian Cardinal,Dirk Nowitzki,Jason Kidd,Jason Terry,Shawn Marion,Andre Miller,Arron Afflalo,Chris Andersen,Danilo Gallinari,Ty Lawson,2,0,2,2,2,0,0,1,0,0,0,0,0,0,4,1.0,1.0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
201112260DAL,2012,DAL,DEN,32,33,Brian Cardinal,Dirk Nowitzki,Jason Kidd,Jason Terry,Lamar Odom,Andre Miller,Arron Afflalo,Chris Andersen,Danilo Gallinari,Ty Lawson,4,2,0,0,0,4,0,0,0,0,2,1,1,0,0,0.0,0.0,0.0,2,2,1,0,0,2,1,1,0,0,3,3,0,0,3,0.5,0.0,0.5,-1
