game,season,home_team,away_team,starting_min,end_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home,pct_home,pct_2_home,pct_3_home,fga_visitor,fta_visitor,fgm_visitor,fga_2_visitor,fgm_2_visitor,fga_3_visitor,fgm_3_visitor,ast_visitor,blk_visitor,pf_visitor,reb_visitor,dreb_visitor,oreb_visitor,to_visitor,pts_visitor,pct_visitor,pct_2_visitor,pct_3_visitor,outcome
201210310PHI,2013,PHI,DEN,0,4,Evan Turner,Jason Richardson,Jrue Holiday,Lavoy Allen,Thaddeus Young,Andre Iguodala,Jordan Hamilton,Kenneth Faried,Kosta Koufos,Ty Lawson,7,3,4,5,3,2,1,2,0,0,5,5,0,3,9,0.5714285714285714,0.6,0.5,9,2,4,7,4,2,0,3,0,0,5,3,2,2,8,0.4444444444444444,0.5714285714285714,0.0,1
201210310PHI,2013,PHI,DEN,5,6,Evan Turner,Jason Richardson,Jrue Holiday,Lavoy Allen,Thaddeus Young,Andre Iguodala,Andre Miller,Jordan Hamilton,Kenneth Faried,Kosta Koufos,5,0,1,4,1,1,0,0,1,0,1,1,0,0,2,0.2,0.25,0.0,7,0,2,7,2,0,0,2,2,0,8,4,4,2,4,0.2857142857142857,0.2857142857142857,0.0,-1
201210310PHI,2013,PHI,DEN,7,7,Evan Turner,Jason Richardson,Jrue Holiday,Lavoy Allen,Thaddeus Young,Andre Iguodala,Andre Miller,Corey Brewer,Kenneth Faried,Kosta Koufos,4,0,1,3,0,1,1,1,0,0,3,1,2,1,3,0.25,0.0,1.0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,1
201210310PHI,2013,PHI,DEN,8,8,Evan Turner,Jason Richardson,Jrue Holiday,Spencer Hawes,Thaddeus Young,Andre Iguodala,Andre Miller,Corey Brewer,JaVale McGee,Kenneth Faried,2,0,1,1,0,1,1,0,0,0,1,1,0,0,3,0.5,0.0,1.0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,1
201210310PHI,2013,PHI,DEN,9,11,Dorell Wright,Jason Richardson,Jrue Holiday,Nick Young,Spencer Hawes,Andre Iguodala,Andre Miller,Corey Brewer,JaVale McGee,Wilson Chandler,7,0,2,4,1,3,1,1,1,0,4,2,2,0,5,0.2857142857142857,0.25,0.3333333333333333,8,1,5,8,5,0,0,0,1,0,5,3,2,0,10,0.625,0.625,0.0,-1
201210310PHI,2013,PHI,DEN,12,14,Dorell Wright,Jason Richardson,Maalik Wayns,Nick Young,Spencer Hawes,Andre Miller,Corey Brewer,JaVale McGee,Ty Lawson,Wilson Chandler,6,2,1,4,1,2,0,0,1,0,5,4,1,1,2,0.16666666666666666,0.25,0.0,8,0,2,8,2,0,0,1,1,0,6,4,2,0,4,0.25,0.25,0.0,-1
201210310PHI,2013,PHI,DEN,15,15,Dorell Wright,Jason Richardson,Maalik Wayns,Nick Young,Spencer Hawes,Andre Miller,Corey Brewer,Kosta Koufos,Ty Lawson,Wilson Chandler,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0.0,0.0,0.0,-1
201210310PHI,2013,PHI,DEN,16,16,Dorell Wright,Jason Richardson,Jrue Holiday,Nick Young,Spencer Hawes,Andre Miller,Corey Brewer,Kosta Koufos,Ty Lawson,Wilson Chandler,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,1,2,1,0,0,1,1,0,2,1,1,1,2,0.5,0.5,0.0,-1
201210310PHI,2013,PHI,DEN,17,17,Dorell Wright,Jrue Holiday,Nick Young,Spencer Hawes,Thaddeus Young,Andre Miller,Corey Brewer,Kenneth Faried,Kosta Koufos,Ty Lawson,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2,2,0,0,0,2,0,0,0,0,2,0,2,0,0,0.0,0.0,0.0,-1
201210310PHI,2013,PHI,DEN,18,18,Dorell Wright,Evan Turner,Jrue Holiday,Lavoy Allen,Thaddeus Young,Andre Iguodala,Andre Miller,Kenneth Faried,Kosta Koufos,Ty Lawson,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0.0,0.0,0.0,-1
201210310PHI,2013,PHI,DEN,19,19,Dorell Wright,Jason Richardson,Jrue Holiday,Spencer Hawes,Thaddeus Young,Andre Iguodala,Andre Miller,Kenneth Faried,Kosta Koufos,Ty Lawson,2,0,1,1,0,1,1,1,1,0,3,2,1,1,3,0.5,0.0,1.0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
201210310PHI,2013,PHI,DEN,20,23,Dorell Wright,Jason Richardson,Jrue Holiday,Spencer Hawes,Thaddeus Young,Andre Iguodala,Corey Brewer,Kenneth Faried,Kosta Koufos,Ty Lawson,5,4,4,4,3,1,1,3,0,0,3,2,1,0,9,0.8,0.75,1.0,8,0,3,6,2,2,1,2,0,0,4,1,3,2,7,0.375,0.3333333333333333,0.5,1
201210310PHI,2013,PHI,DEN,24,24,Dorell Wright,Jrue Holiday,Nick Young,Spencer Hawes,Thaddeus Young,Andre Iguodala,Andre Miller,Corey Brewer,JaVale McGee,Wilson Chandler,2,0,1,1,1,1,0,1,0,0,2,1,1,0,2,0.5,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
201210310PHI,2013,PHI,DEN,25,26,Evan Turner,Jason Richardson,Jrue Holiday,Lavoy Allen,Thaddeus Young,Andre Iguodala,Jordan Hamilton,Kenneth Faried,Kosta Koufos,Ty Lawson,4,0,1,3,1,1,0,1,0,0,2,1,1,0,2,0.25,0.3333333333333333,0.0,4,0,2,3,2,1,0,2,0,0,3,2,1,0,4,0.5,0.6666666666666666,0.0,-1
201210310PHI,2013,PHI,DEN,27,30,Evan Turner,Jason Richardson,Jrue Holiday,Lavoy Allen,Thaddeus Young,Andre Iguodala,JaVale McGee,Jordan Hamilton,Ty Lawson,Wilson Chandler,9,3,4,8,4,1,0,1,1,0,6,2,4,1,8,0.4444444444444444,0.5,0.0,5,0,2,4,2,1,0,2,0,0,4,3,1,3,4,0.4,0.5,0.0,1
201210310PHI,2013,PHI,DEN,31,32,Evan Turner,Jason Richardson,Jrue Holiday,Lavoy Allen,Thaddeus Young,Andre Iguodala,Corey Brewer,JaVale McGee,Ty Lawson,Wilson Chandler,4,0,0,2,0,2,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,3,2,2,2,1,1,1,1,0,0,5,3,2,1,5,0.6666666666666666,0.5,1.0,-1
201210310PHI,2013,PHI,DEN,33,33,Dorell Wright,Evan Turner,Jrue Holiday,Lavoy Allen,Thaddeus Young,Andre Iguodala,Corey Brewer,JaVale McGee,Ty Lawson,Wilson Chandler,1,2,1,1,1,0,0,1,0,0,1,1,0,0,2,1.0,1.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
