game,season,home_team,away_team,starting_min,end_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home,pct_home,pct_2_home,pct_3_home,fga_visitor,fta_visitor,fgm_visitor,fga_2_visitor,fgm_2_visitor,fga_3_visitor,fgm_3_visitor,ast_visitor,blk_visitor,pf_visitor,reb_visitor,dreb_visitor,oreb_visitor,to_visitor,pts_visitor,pct_visitor,pct_2_visitor,pct_3_visitor,outcome
200812270CHA,2009,CHA,NJN,43,45,Boris Diaw,D.J. Augustin,Emeka Okafor,Gerald Wallace,Raymond Felton,Devin Harris,Jarvis Hayes,Josh Boone,Keyon Dooling,Vince Carter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200812270CHA,2009,CHA,NJN,46,47,Boris Diaw,D.J. Augustin,Emeka Okafor,Gerald Wallace,Raymond Felton,Brook Lopez,Devin Harris,Jarvis Hayes,Keyon Dooling,Vince Carter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200812310DET,2009,DET,NJN,0,8,Allen Iverson,Amir Johnson,Rasheed Wallace,Rodney Stuckey,Tayshaun Prince,Bobby Simmons,Brook Lopez,Devin Harris,Vince Carter,Yi Jianlian,16,1,8,12,7,4,1,5,0,1,10,7,3,3,17,0.5,0.5833333333333334,0.25,17,3,6,12,5,5,1,2,2,2,10,6,4,1,13,0.35294117647058826,0.4166666666666667,0.2,1
200812310DET,2009,DET,NJN,9,9,Arron Afflalo,Jason Maxiell,Kwame Brown,Rodney Stuckey,Tayshaun Prince,Brook Lopez,Devin Harris,Eduardo Najera,Jarvis Hayes,Vince Carter,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0.0,0.0,0.0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,-1
200812310DET,2009,DET,NJN,10,12,Arron Afflalo,Jason Maxiell,Kwame Brown,Rodney Stuckey,Tayshaun Prince,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Eduardo Najera,Jarvis Hayes,3,1,2,3,2,0,0,1,0,1,3,3,0,1,4,0.6666666666666666,0.6666666666666666,0.0,5,3,2,4,2,1,0,1,0,0,4,1,3,0,4,0.4,0.5,0.0,-1
200812310DET,2009,DET,NJN,13,14,Allen Iverson,Arron Afflalo,Jason Maxiell,Rasheed Wallace,Rodney Stuckey,Chris Douglas-Roberts,Eduardo Najera,Jarvis Hayes,Josh Boone,Vince Carter,2,2,1,2,1,0,0,1,0,0,2,2,0,0,2,0.5,0.5,0.0,3,0,0,2,0,1,0,0,0,0,2,1,1,1,0,0.0,0.0,0.0,1
200812310DET,2009,DET,NJN,15,16,Allen Iverson,Arron Afflalo,Jason Maxiell,Kwame Brown,Rodney Stuckey,Chris Douglas-Roberts,Eduardo Najera,Jarvis Hayes,Josh Boone,Vince Carter,5,0,0,3,0,2,0,0,0,0,6,4,2,2,0,0.0,0.0,0.0,2,0,0,1,0,1,0,0,0,1,2,2,0,1,0,0.0,0.0,0.0,-1
200812310DET,2009,DET,NJN,17,17,Allen Iverson,Arron Afflalo,Jason Maxiell,Kwame Brown,Tayshaun Prince,Brook Lopez,Devin Harris,Eduardo Najera,Jarvis Hayes,Vince Carter,1,2,0,1,0,0,0,0,0,0,3,0,3,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,-1
200812310DET,2009,DET,NJN,18,23,Allen Iverson,Arron Afflalo,Jason Maxiell,Kwame Brown,Tayshaun Prince,Bobby Simmons,Brook Lopez,Devin Harris,Jarvis Hayes,Yi Jianlian,9,7,5,7,5,2,0,3,0,0,8,3,5,1,10,0.5555555555555556,0.7142857142857143,0.0,9,2,4,8,4,1,0,2,0,2,6,3,3,1,8,0.4444444444444444,0.5,0.0,1
200812310DET,2009,DET,NJN,24,24,Allen Iverson,Arron Afflalo,Jason Maxiell,Kwame Brown,Tayshaun Prince,Bobby Simmons,Devin Harris,Jarvis Hayes,Josh Boone,Yi Jianlian,1,0,1,1,1,0,0,1,0,1,0,0,0,0,2,1.0,1.0,0.0,2,1,2,2,2,0,0,1,0,0,0,0,0,0,4,1.0,1.0,0.0,-1
200812310DET,2009,DET,NJN,25,32,Allen Iverson,Amir Johnson,Kwame Brown,Rodney Stuckey,Tayshaun Prince,Bobby Simmons,Brook Lopez,Devin Harris,Jarvis Hayes,Yi Jianlian,11,2,4,9,4,2,0,3,0,0,10,8,2,3,8,0.36363636363636365,0.4444444444444444,0.0,15,1,5,11,4,4,1,3,1,1,8,6,2,1,11,0.3333333333333333,0.36363636363636365,0.25,-1
200812310DET,2009,DET,NJN,33,33,Allen Iverson,Amir Johnson,Jason Maxiell,Rodney Stuckey,Tayshaun Prince,Bobby Simmons,Brook Lopez,Devin Harris,Jarvis Hayes,Yi Jianlian,2,0,2,2,2,0,0,0,0,0,0,0,0,0,4,1.0,1.0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1
200812310DET,2009,DET,NJN,34,34,Allen Iverson,Amir Johnson,Jason Maxiell,Rodney Stuckey,Tayshaun Prince,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Eduardo Najera,Trenton Hassell,2,0,2,1,1,1,1,1,0,0,1,1,0,0,5,1.0,1.0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,1.0,1.0,0.0,1
200812310DET,2009,DET,NJN,35,36,Allen Iverson,Arron Afflalo,Jason Maxiell,Rodney Stuckey,Tayshaun Prince,Brook Lopez,Chris Douglas-Roberts,Devin Harris,Eduardo Najera,Trenton Hassell,3,1,2,3,2,0,0,1,0,1,2,2,0,1,4,0.6666666666666666,0.6666666666666666,0.0,0,2,0,0,0,0,0,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1
200812310DET,2009,DET,NJN,37,38,Allen Iverson,Arron Afflalo,Jason Maxiell,Rodney Stuckey,Tayshaun Prince,Chris Douglas-Roberts,Eduardo Najera,Josh Boone,Maurice Ager,Trenton Hassell,2,2,1,1,0,1,1,1,0,0,2,2,0,1,3,0.5,0.0,1.0,3,0,1,2,1,1,0,0,0,0,2,2,0,0,2,0.3333333333333333,0.5,0.0,1
200812310DET,2009,DET,NJN,39,39,Allen Iverson,Arron Afflalo,Jason Maxiell,Rodney Stuckey,Tayshaun Prince,Eduardo Najera,Jarvis Hayes,Josh Boone,Maurice Ager,Trenton Hassell,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,2,2,2,0,0,2,0,0,1,1,0,0,4,1.0,1.0,0.0,-1
