game,season,home_team,away_team,starting_min,end_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home,pct_home,pct_2_home,pct_3_home,fga_visitor,fta_visitor,fgm_visitor,fga_2_visitor,fgm_2_visitor,fga_3_visitor,fgm_3_visitor,ast_visitor,blk_visitor,pf_visitor,reb_visitor,dreb_visitor,oreb_visitor,to_visitor,pts_visitor,pct_visitor,pct_2_visitor,pct_3_visitor,outcome
200710300GSW,2008,GSW,UTA,0,3,Andris Biedrins,Baron Davis,Kelenna Azubuike,Mickael Pietrus,Monta Ellis,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,7,2,5,5,4,2,1,2,0,1,4,3,1,0,11,0.7142857142857143,0.8,0.5,8,0,3,8,3,0,0,2,2,3,5,3,2,2,6,0.375,0.375,0.0,1
200710300GSW,2008,GSW,UTA,4,6,Andris Biedrins,Baron Davis,Kelenna Azubuike,Mickael Pietrus,Monta Ellis,Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Ronnie Brewer,4,4,2,2,2,2,0,1,0,1,2,1,1,1,4,0.5,1.0,0.0,7,0,5,6,5,1,0,3,0,0,4,3,1,0,10,0.7142857142857143,0.8333333333333334,0.0,-1
200710300GSW,2008,GSW,UTA,7,7,Al Harrington,Andris Biedrins,Baron Davis,Kelenna Azubuike,Monta Ellis,Andrei Kirilenko,Carlos Boozer,Deron Williams,Paul Millsap,Ronnie Brewer,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,3,0,2,3,2,0,0,1,0,0,0,0,0,0,4,0.6666666666666666,0.6666666666666666,0.0,-1
200710300GSW,2008,GSW,UTA,8,8,Al Harrington,Andris Biedrins,Baron Davis,Kelenna Azubuike,Monta Ellis,Andrei Kirilenko,Carlos Boozer,Jason Hart,Paul Millsap,Ronnie Brewer,1,2,0,1,0,0,0,0,0,0,2,1,1,1,0,0.0,0.0,0.0,2,0,1,2,1,0,0,0,1,0,0,0,0,0,2,0.5,0.5,0.0,-1
200710300GSW,2008,GSW,UTA,9,10,Al Harrington,Andris Biedrins,Baron Davis,Kelenna Azubuike,Monta Ellis,Carlos Boozer,Jason Hart,Matt Harpring,Paul Millsap,Ronnie Brewer,3,3,1,3,1,0,0,0,0,0,1,0,1,2,2,0.3333333333333333,0.3333333333333333,0.0,4,0,2,4,2,0,0,1,1,0,4,2,2,2,4,0.5,0.5,0.0,-1
200710300GSW,2008,GSW,UTA,11,11,Al Harrington,Baron Davis,Kelenna Azubuike,Matt Barnes,Troy Hudson,Carlos Boozer,Jason Hart,Matt Harpring,Paul Millsap,Ronnie Brewer,2,0,2,1,1,1,1,2,0,0,1,1,0,0,5,1.0,1.0,1.0,4,0,1,3,1,1,0,0,1,0,2,0,2,0,2,0.25,0.3333333333333333,0.0,1
200710300GSW,2008,GSW,UTA,12,12,Al Harrington,Baron Davis,Kelenna Azubuike,Matt Barnes,Troy Hudson,Andrei Kirilenko,Gordan Giricek,Jason Hart,Matt Harpring,Paul Millsap,1,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,2,0,1,2,1,0,0,1,1,0,2,1,1,1,2,0.5,0.5,0.0,-1
200710300GSW,2008,GSW,UTA,13,13,Al Harrington,Baron Davis,Kelenna Azubuike,Matt Barnes,Troy Hudson,Andrei Kirilenko,Deron Williams,Gordan Giricek,Mehmet Okur,Paul Millsap,2,0,0,2,0,0,0,0,1,0,1,1,0,1,0,0.0,0.0,0.0,1,4,0,1,0,0,0,0,0,0,2,2,0,0,0,0.0,0.0,0.0,-1
200710300GSW,2008,GSW,UTA,14,15,Al Harrington,Baron Davis,Marco Belinelli,Matt Barnes,Troy Hudson,Andrei Kirilenko,C.J. Miles,Deron Williams,Gordan Giricek,Paul Millsap,2,0,1,2,1,0,0,0,0,0,2,2,0,3,2,0.5,0.5,0.0,4,0,2,4,2,0,0,2,0,1,1,1,0,0,4,0.5,0.5,0.0,-1
200710300GSW,2008,GSW,UTA,16,17,Al Harrington,Andris Biedrins,Kelenna Azubuike,Mickael Pietrus,Monta Ellis,Andrei Kirilenko,C.J. Miles,Deron Williams,Gordan Giricek,Paul Millsap,2,2,1,1,1,1,0,1,0,0,1,0,1,1,2,0.5,1.0,0.0,4,4,3,2,2,2,1,1,0,0,4,2,2,0,7,0.75,1.0,0.5,-1
