game,season,home_team,away_team,starting_min,end_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home,pct_home,pct_2_home,pct_3_home,fga_visitor,fta_visitor,fgm_visitor,fga_2_visitor,fgm_2_visitor,fga_3_visitor,fgm_3_visitor,ast_visitor,blk_visitor,pf_visitor,reb_visitor,dreb_visitor,oreb_visitor,to_visitor,pts_visitor,pct_visitor,pct_2_visitor,pct_3_visitor,outcome
201010270DEN,2011,DEN,UTA,0,2,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Nene Hilario,Shelden Williams,Al Jefferson,Andrei Kirilenko,Deron Williams,Paul Millsap,Raja Bell,6,0,3,3,2,3,1,2,0,0,3,2,1,1,7,0.5,0.6666666666666666,0.3333333333333333,2,0,0,2,0,0,0,0,0,0,2,2,0,3,0,0.0,0.0,0.0,1
201010270DEN,2011,DEN,UTA,3,3,Al Harrington,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Shelden Williams,Al Jefferson,Andrei Kirilenko,Deron Williams,Paul Millsap,Raja Bell,3,0,1,3,1,0,0,1,0,0,3,2,1,0,2,0.3333333333333333,0.3333333333333333,0.0,2,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,1
201010270DEN,2011,DEN,UTA,4,5,Al Harrington,Arron Afflalo,Carmelo Anthony,Shelden Williams,Ty Lawson,Al Jefferson,Andrei Kirilenko,Deron Williams,Paul Millsap,Raja Bell,8,2,1,7,1,1,0,1,0,0,6,2,4,0,2,0.125,0.14285714285714285,0.0,4,2,1,3,1,1,0,0,0,0,4,3,1,1,2,0.25,0.3333333333333333,0.0,-1
201010270DEN,2011,DEN,UTA,6,7,Al Harrington,Arron Afflalo,Carmelo Anthony,Shelden Williams,Ty Lawson,Al Jefferson,C.J. Miles,Deron Williams,Paul Millsap,Raja Bell,3,2,1,0,0,3,1,1,0,0,2,1,1,1,3,0.3333333333333333,0.0,0.3333333333333333,3,4,2,2,1,1,1,2,0,0,1,1,0,0,5,0.6666666666666666,0.5,1.0,-1
201010270DEN,2011,DEN,UTA,8,9,Al Harrington,Arron Afflalo,Carmelo Anthony,Melvin Ely,Ty Lawson,Al Jefferson,Deron Williams,Gordon Hayward,Paul Millsap,Raja Bell,2,0,2,2,2,0,0,1,0,0,3,3,0,1,4,1.0,1.0,0.0,3,2,0,2,0,1,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,1
201010270DEN,2011,DEN,UTA,10,10,Al Harrington,Carmelo Anthony,J.R. Smith,Melvin Ely,Ty Lawson,Al Jefferson,Deron Williams,Gordon Hayward,Paul Millsap,Raja Bell,3,0,2,2,1,1,1,1,0,0,0,0,0,0,5,0.6666666666666666,0.5,1.0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,2,1.0,1.0,0.0,1
201010270DEN,2011,DEN,UTA,11,11,Al Harrington,Carmelo Anthony,J.R. Smith,Melvin Ely,Ty Lawson,Al Jefferson,Deron Williams,Gordon Hayward,Jeremy Evans,Raja Bell,2,2,0,0,0,2,0,0,0,0,2,1,1,1,0,0.0,0.0,0.0,3,2,1,3,1,0,0,1,0,0,3,1,2,0,2,0.3333333333333333,0.3333333333333333,0.0,-1
201010270DEN,2011,DEN,UTA,12,12,Al Harrington,Carmelo Anthony,Chauncey Billups,J.R. Smith,Melvin Ely,Deron Williams,Gordon Hayward,Jeremy Evans,Kyrylo Fesenko,Raja Bell,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,2,1.0,1.0,0.0,-1
201010270DEN,2011,DEN,UTA,13,13,Al Harrington,Carmelo Anthony,Chauncey Billups,J.R. Smith,Nene Hilario,Deron Williams,Gordon Hayward,Jeremy Evans,Kyrylo Fesenko,Ronnie Price,0,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,2,0,1,2,1,0,0,1,0,0,0,0,0,0,2,0.5,0.5,0.0,-1
201010270DEN,2011,DEN,UTA,14,14,Al Harrington,Carmelo Anthony,Chauncey Billups,J.R. Smith,Nene Hilario,Earl Watson,Gordon Hayward,Jeremy Evans,Kyrylo Fesenko,Ronnie Price,1,2,1,1,1,0,0,0,0,0,2,1,1,1,2,1.0,1.0,0.0,2,2,1,1,1,1,0,0,0,0,3,1,2,0,2,0.5,1.0,0.0,-1
201010270DEN,2011,DEN,UTA,15,15,Al Harrington,Arron Afflalo,Chauncey Billups,J.R. Smith,Nene Hilario,Earl Watson,Gordon Hayward,Jeremy Evans,Kyrylo Fesenko,Ronnie Price,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0.0,0.0,0.0,-1
201010270DEN,2011,DEN,UTA,16,16,Al Harrington,Arron Afflalo,Chauncey Billups,J.R. Smith,Nene Hilario,Earl Watson,Francisco Elson,Gordon Hayward,Kyrylo Fesenko,Ronnie Price,2,0,1,2,1,0,0,1,0,0,1,1,0,0,2,0.5,0.5,0.0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0.0,0.0,0.0,1
201010270DEN,2011,DEN,UTA,17,18,Arron Afflalo,Chauncey Billups,J.R. Smith,Nene Hilario,Shelden Williams,Al Jefferson,Andrei Kirilenko,Earl Watson,Francisco Elson,Ronnie Price,5,1,2,5,2,0,0,1,1,0,3,1,2,0,4,0.4,0.4,0.0,3,1,2,3,2,0,0,1,0,0,1,1,0,1,4,0.6666666666666666,0.6666666666666666,0.0,-1
201010270DEN,2011,DEN,UTA,19,21,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Nene Hilario,Ty Lawson,Al Jefferson,Andrei Kirilenko,Deron Williams,Paul Millsap,Raja Bell,5,2,2,4,2,1,0,1,0,0,2,2,0,2,4,0.4,0.5,0.0,2,6,1,2,1,0,0,1,0,0,3,3,0,2,2,0.5,0.5,0.0,1
201010270DEN,2011,DEN,UTA,22,22,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Nene Hilario,Ty Lawson,Al Jefferson,Andrei Kirilenko,Earl Watson,Paul Millsap,Raja Bell,2,1,2,2,2,0,0,1,0,0,0,0,0,0,4,1.0,1.0,0.0,2,0,1,2,1,0,0,1,0,0,1,0,1,0,2,0.5,0.5,0.0,1
201010270DEN,2011,DEN,UTA,23,23,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Melvin Ely,Ty Lawson,Al Jefferson,Andrei Kirilenko,Earl Watson,Paul Millsap,Raja Bell,2,2,1,2,1,0,0,0,0,0,1,0,1,0,2,0.5,0.5,0.0,0,2,0,0,0,0,0,0,0,0,2,0,2,3,0,0.0,0.0,0.0,1
201010270DEN,2011,DEN,UTA,24,24,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Melvin Ely,Ty Lawson,Al Jefferson,Andrei Kirilenko,Paul Millsap,Raja Bell,Ronnie Price,1,0,1,1,1,0,0,1,0,0,0,0,0,1,2,1.0,1.0,0.0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,2,1.0,1.0,0.0,-1
201010270DEN,2011,DEN,UTA,25,30,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Nene Hilario,Shelden Williams,Al Jefferson,Andrei Kirilenko,Deron Williams,Paul Millsap,Raja Bell,8,6,4,8,4,0,0,3,2,0,7,7,0,2,8,0.5,0.5,0.0,13,5,4,9,2,4,2,3,0,0,7,5,2,1,10,0.3076923076923077,0.2222222222222222,0.5,-1
201010270DEN,2011,DEN,UTA,31,33,Al Harrington,Arron Afflalo,Carmelo Anthony,Chauncey Billups,Nene Hilario,Al Jefferson,C.J. Miles,Deron Williams,Paul Millsap,Raja Bell,6,0,4,3,1,3,3,4,1,0,2,2,0,0,11,0.6666666666666666,0.3333333333333333,1.0,3,4,1,3,1,0,0,1,1,0,2,2,0,1,2,0.3333333333333333,0.3333333333333333,0.0,1
201010270DEN,2011,DEN,UTA,34,36,Al Harrington,Carmelo Anthony,Chauncey Billups,J.R. Smith,Nene Hilario,Al Jefferson,C.J. Miles,Deron Williams,Paul Millsap,Raja Bell,7,0,0,4,0,3,0,0,0,0,5,4,1,1,0,0.0,0.0,0.0,5,0,1,3,1,2,0,1,0,0,6,6,0,0,2,0.2,0.3333333333333333,0.0,-1
201010270DEN,2011,DEN,UTA,37,38,Al Harrington,Carmelo Anthony,J.R. Smith,Shelden Williams,Ty Lawson,C.J. Miles,Earl Watson,Francisco Elson,Gordon Hayward,Kyrylo Fesenko,2,2,1,1,1,1,0,0,0,0,0,0,0,1,2,0.5,1.0,0.0,5,0,1,4,1,1,0,0,1,0,5,1,4,3,2,0.2,0.25,0.0,-1
201010270DEN,2011,DEN,UTA,39,41,Carmelo Anthony,J.R. Smith,Melvin Ely,Shelden Williams,Ty Lawson,C.J. Miles,Earl Watson,Francisco Elson,Gordon Hayward,Kyrylo Fesenko,3,6,2,2,2,1,0,2,0,0,4,2,2,0,4,0.6666666666666666,1.0,0.0,3,6,2,3,2,0,0,2,0,0,3,0,3,0,4,0.6666666666666666,0.6666666666666666,0.0,-1
201010270DEN,2011,DEN,UTA,42,42,Al Harrington,Arron Afflalo,J.R. Smith,Shelden Williams,Ty Lawson,C.J. Miles,Earl Watson,Francisco Elson,Gordon Hayward,Kyrylo Fesenko,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,2,1,1,1,0,0,1,0,0,2,2,0,0,2,1.0,1.0,0.0,-1
201010270DEN,2011,DEN,UTA,43,43,Al Harrington,Arron Afflalo,J.R. Smith,Shelden Williams,Ty Lawson,Earl Watson,Francisco Elson,Gordon Hayward,Jeremy Evans,Ronnie Price,2,0,2,2,2,0,0,2,0,0,1,1,0,0,4,1.0,1.0,0.0,2,0,1,2,1,0,0,1,0,0,0,0,0,0,2,0.5,0.5,0.0,1
201010270DEN,2011,DEN,UTA,44,45,Arron Afflalo,Gary Forbes,J.R. Smith,Shelden Williams,Ty Lawson,Earl Watson,Francisco Elson,Gordon Hayward,Jeremy Evans,Ronnie Price,3,0,1,2,1,1,0,0,0,0,1,1,0,2,2,0.3333333333333333,0.5,0.0,4,0,3,4,3,0,0,2,0,0,2,2,0,1,6,0.75,0.75,0.0,-1
201010270DEN,2011,DEN,UTA,46,47,Arron Afflalo,Gary Forbes,Renaldo Balkman,Shelden Williams,Ty Lawson,Earl Watson,Francisco Elson,Gordon Hayward,Jeremy Evans,Ronnie Price,1,4,1,1,1,0,0,0,0,0,3,3,0,1,2,1.0,1.0,0.0,2,4,0,1,0,1,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,1
