game,season,home_team,away_team,starting_min,end_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home,pct_home,pct_2_home,pct_3_home,fga_visitor,fta_visitor,fgm_visitor,fga_2_visitor,fgm_2_visitor,fga_3_visitor,fgm_3_visitor,ast_visitor,blk_visitor,pf_visitor,reb_visitor,dreb_visitor,oreb_visitor,to_visitor,pts_visitor,pct_visitor,pct_2_visitor,pct_3_visitor,outcome
200910280LAC,2010,LAC,PHO,0,5,Al Thornton,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Amar'e Stoudemire,Channing Frye,Grant Hill,Leandro Barbosa,Steve Nash,10,3,8,10,8,0,0,7,0,1,7,6,1,2,16,0.8,0.8,0.0,12,2,5,12,5,0,0,3,2,2,4,3,1,0,10,0.4166666666666667,0.4166666666666667,0.0,1
200910280LAC,2010,LAC,PHO,6,7,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Amar'e Stoudemire,Channing Frye,Grant Hill,Leandro Barbosa,Steve Nash,3,2,1,2,1,1,0,0,0,1,4,2,2,0,2,0.3333333333333333,0.5,0.0,6,0,2,3,2,3,0,2,0,0,3,1,2,0,4,0.3333333333333333,0.6666666666666666,0.0,-1
200910280LAC,2010,LAC,PHO,8,8,Baron Davis,Chris Kaman,Eric Gordon,Marcus Camby,Rasual Butler,Amar'e Stoudemire,Channing Frye,Grant Hill,Jared Dudley,Steve Nash,2,2,1,1,1,1,0,0,0,0,0,0,0,0,2,0.5,1.0,0.0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,2,1.0,1.0,0.0,-1
200910280LAC,2010,LAC,PHO,9,10,Baron Davis,Craig Smith,Eric Gordon,Marcus Camby,Rasual Butler,Amar'e Stoudemire,Channing Frye,Grant Hill,Jared Dudley,Steve Nash,4,0,2,4,2,0,0,2,0,0,1,1,0,0,4,0.5,0.5,0.0,2,4,1,2,1,0,0,1,1,0,4,2,2,1,2,0.5,0.5,0.0,1
200910280LAC,2010,LAC,PHO,11,11,Baron Davis,Craig Smith,Eric Gordon,Marcus Camby,Rasual Butler,Earl Clark,Grant Hill,Jared Dudley,Lou Amundson,Steve Nash,2,0,1,0,0,2,1,1,0,0,1,0,1,1,3,0.5,0.0,0.5,1,0,1,1,1,0,0,0,0,0,0,0,0,2,2,1.0,1.0,0.0,1
200910280LAC,2010,LAC,PHO,12,12,Al Thornton,Baron Davis,Craig Smith,Eric Gordon,Rasual Butler,Earl Clark,Goran Dragic,Grant Hill,Jared Dudley,Lou Amundson,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,2,1,1,1,0,0,1,0,1,1,1,0,0,2,1.0,1.0,0.0,-1
200910280LAC,2010,LAC,PHO,13,13,Al Thornton,Craig Smith,Kareem Rush,Rasual Butler,Sebastian Telfair,Earl Clark,Goran Dragic,Jared Dudley,Leandro Barbosa,Lou Amundson,1,0,0,1,0,0,0,0,0,2,1,1,0,1,0,0.0,0.0,0.0,2,0,1,2,1,0,0,0,0,0,1,1,0,0,2,0.5,0.5,0.0,-1
200910280LAC,2010,LAC,PHO,14,15,Al Thornton,Chris Kaman,Kareem Rush,Rasual Butler,Sebastian Telfair,Amar'e Stoudemire,Earl Clark,Goran Dragic,Jared Dudley,Leandro Barbosa,2,0,1,2,1,0,0,0,1,0,0,0,0,1,2,0.5,0.5,0.0,5,0,3,4,2,1,1,2,0,0,3,1,2,0,7,0.6,0.5,1.0,-1
200910280LAC,2010,LAC,PHO,16,17,Al Thornton,Chris Kaman,Eric Gordon,Marcus Camby,Sebastian Telfair,Amar'e Stoudemire,Earl Clark,Goran Dragic,Jared Dudley,Leandro Barbosa,4,0,2,4,2,0,0,1,1,0,2,1,1,1,4,0.5,0.5,0.0,4,0,3,4,3,0,0,1,1,0,1,1,0,0,6,0.75,0.75,0.0,-1
200910280LAC,2010,LAC,PHO,18,18,Al Thornton,Chris Kaman,Eric Gordon,Marcus Camby,Sebastian Telfair,Amar'e Stoudemire,Earl Clark,Grant Hill,Leandro Barbosa,Steve Nash,2,1,2,2,2,0,0,2,0,0,1,1,0,0,4,1.0,1.0,0.0,2,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,1
