game,season,home_team,away_team,starting_min,end_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home,pct_home,pct_2_home,pct_3_home,fga_visitor,fta_visitor,fgm_visitor,fga_2_visitor,fgm_2_visitor,fga_3_visitor,fgm_3_visitor,ast_visitor,blk_visitor,pf_visitor,reb_visitor,dreb_visitor,oreb_visitor,to_visitor,pts_visitor,pct_visitor,pct_2_visitor,pct_3_visitor,outcome
200610310LAL,2007,LAL,PHO,0,5,Andrew Bynum,Lamar Odom,Luke Walton,Sasha Vujacic,Smush Parker,Boris Diaw,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,10,4,4,7,3,3,1,3,0,1,1,1,0,1,9,0.4,0.42857142857142855,0.3333333333333333,11,1,10,8,8,3,2,6,0,0,7,7,0,1,22,0.9090909090909091,1.0,0.6666666666666666,-1
200610310LAL,2007,LAL,PHO,6,7,Andrew Bynum,Lamar Odom,Luke Walton,Sasha Vujacic,Smush Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,3,0,2,2,2,1,0,1,0,0,2,2,0,2,4,0.6666666666666666,1.0,0.0,6,0,4,4,3,2,1,4,0,0,1,1,0,0,9,0.6666666666666666,0.75,0.5,-1
200610310LAL,2007,LAL,PHO,8,9,Lamar Odom,Luke Walton,Maurice Evans,Ronny Turiaf,Smush Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,4,0,2,4,2,0,0,2,1,1,2,1,1,2,4,0.5,0.5,0.0,2,2,1,2,1,0,0,1,0,0,1,1,0,1,2,0.5,0.5,0.0,1
200610310LAL,2007,LAL,PHO,10,10,Lamar Odom,Luke Walton,Maurice Evans,Ronny Turiaf,Smush Parker,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,2,0,2,2,2,0,0,1,0,0,0,0,0,0,4,1.0,1.0,0.0,2,0,1,0,0,2,1,1,0,0,1,0,1,1,3,0.5,0.0,0.5,1
200610310LAL,2007,LAL,PHO,11,11,Luke Walton,Maurice Evans,Ronny Turiaf,Smush Parker,Vladimir Radmanovic,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,2,0,1,2,1,0,0,1,0,1,0,0,0,0,2,0.5,0.5,0.0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,2,1.0,1.0,0.0,-1
200610310LAL,2007,LAL,PHO,12,12,Brian Cook,Maurice Evans,Sasha Vujacic,Smush Parker,Vladimir Radmanovic,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,1,0,1,0,0,1,1,1,0,0,1,1,0,0,3,1.0,0.0,1.0,2,0,1,2,1,0,0,1,0,1,0,0,0,0,2,0.5,0.5,0.0,1
200610310LAL,2007,LAL,PHO,13,15,Brian Cook,Jordan Farmar,Lamar Odom,Sasha Vujacic,Vladimir Radmanovic,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,5,3,2,5,2,0,0,0,0,1,3,2,1,2,4,0.4,0.4,0.0,4,2,1,3,1,1,0,1,0,0,4,2,2,2,2,0.25,0.3333333333333333,0.0,1
200610310LAL,2007,LAL,PHO,16,17,Brian Cook,Jordan Farmar,Lamar Odom,Sasha Vujacic,Vladimir Radmanovic,Boris Diaw,James Jones,Marcus Banks,Shawn Marion,Steve Nash,3,0,2,2,2,1,0,2,0,0,4,4,0,1,4,0.6666666666666666,1.0,0.0,4,0,0,2,0,2,0,0,0,1,1,1,0,1,0,0.0,0.0,0.0,1
200610310LAL,2007,LAL,PHO,18,20,Brian Cook,Lamar Odom,Sasha Vujacic,Smush Parker,Vladimir Radmanovic,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,6,6,3,6,3,0,0,2,0,0,9,2,7,2,6,0.5,0.5,0.0,4,4,2,2,1,2,1,2,0,0,2,1,1,0,5,0.5,0.5,0.5,1
200610310LAL,2007,LAL,PHO,21,21,Lamar Odom,Maurice Evans,Sasha Vujacic,Smush Parker,Vladimir Radmanovic,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,1,2,1,1,1,0,0,1,0,0,2,1,1,0,2,1.0,1.0,0.0,-1
200610310LAL,2007,LAL,PHO,22,23,Andrew Bynum,Lamar Odom,Maurice Evans,Sasha Vujacic,Smush Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,4,3,2,4,2,0,0,2,0,1,5,2,3,1,4,0.5,0.5,0.0,3,0,1,3,1,0,0,1,0,0,0,0,0,1,2,0.3333333333333333,0.3333333333333333,0.0,1
200610310LAL,2007,LAL,PHO,24,24,Andrew Bynum,Lamar Odom,Luke Walton,Maurice Evans,Smush Parker,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,2,0,2,2,2,0,0,2,0,0,2,2,0,0,4,1.0,1.0,0.0,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1
200610310LAL,2007,LAL,PHO,25,27,Andrew Bynum,Lamar Odom,Luke Walton,Maurice Evans,Smush Parker,Boris Diaw,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,5,2,3,5,3,0,0,1,1,0,3,3,0,1,6,0.6,0.6,0.0,5,0,2,2,1,3,1,1,0,0,2,2,0,1,5,0.4,0.5,0.3333333333333333,1
200610310LAL,2007,LAL,PHO,28,30,Andrew Bynum,Lamar Odom,Luke Walton,Maurice Evans,Smush Parker,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,6,1,4,6,4,0,0,2,0,0,1,0,1,1,8,0.6666666666666666,0.6666666666666666,0.0,3,2,3,1,1,2,2,2,0,0,1,1,0,2,8,1.0,1.0,1.0,-1
