season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,removed_player
2007,LAL,PHO,8,Lamar Odom,Luke Walton,Maurice Evans,Ronny Turiaf,?,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Smush Parker
2007,LAL,PHO,10,Lamar Odom,Luke Walton,Maurice Evans,Ronny Turiaf,?,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Smush Parker
2007,LAL,PHO,12,Brian Cook,Maurice Evans,Sasha Vujacic,Smush Parker,?,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Vladimir Radmanovic
2007,LAL,PHO,13,Brian Cook,Jordan Farmar,Lamar Odom,Sasha Vujacic,?,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Vladimir Radmanovic
2007,LAL,PHO,16,Brian Cook,Jordan Farmar,Lamar Odom,Sasha Vujacic,?,Boris Diaw,James Jones,Marcus Banks,Shawn Marion,Steve Nash,Vladimir Radmanovic
2007,LAL,PHO,18,Brian Cook,Lamar Odom,Sasha Vujacic,Smush Parker,?,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Vladimir Radmanovic
2007,LAL,PHO,22,Andrew Bynum,Lamar Odom,Maurice Evans,Sasha Vujacic,?,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Smush Parker
2007,LAL,PHO,24,Andrew Bynum,Lamar Odom,Luke Walton,Maurice Evans,?,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Smush Parker
2007,LAL,PHO,25,Andrew Bynum,Lamar Odom,Luke Walton,Maurice Evans,?,Boris Diaw,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,Smush Parker
2007,LAL,PHO,31,Andrew Bynum,Lamar Odom,Luke Walton,Maurice Evans,?,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Smush Parker
2007,LAL,PHO,33,Andrew Bynum,Lamar Odom,Luke Walton,Maurice Evans,?,Boris Diaw,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Smush Parker
2007,LAL,PHO,36,Jordan Farmar,Lamar Odom,Luke Walton,Maurice Evans,?,Boris Diaw,Kurt Thomas,Leandro Barbosa,Marcus Banks,Raja Bell,Vladimir Radmanovic
