season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,removed_player
2007,LAL,PHO,8,Lamar Odom,Luke Walton,Maurice Evans,?,Smush Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Ronny Turiaf
2007,LAL,PHO,10,Lamar Odom,Luke Walton,Maurice Evans,?,Smush Parker,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Ronny Turiaf
2007,LAL,PHO,12,Brian Cook,Maurice Evans,Sasha Vujacic,?,Vladimir Radmanovic,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Smush Parker
2007,LAL,PHO,13,Brian Cook,Jordan Farmar,Lamar Odom,?,Vladimir Radmanovic,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Sasha Vujacic
2007,LAL,PHO,16,Brian Cook,Jordan Farmar,Lamar Odom,?,Vladimir Radmanovic,Boris Diaw,James Jones,Marcus Banks,Shawn Marion,Steve Nash,Sasha Vujacic
2007,LAL,PHO,18,Brian Cook,Lamar Odom,Sasha Vujacic,?,Vladimir Radmanovic,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Smush Parker
2007,LAL,PHO,22,Andrew Bynum,Lamar Odom,Maurice Evans,?,Smush Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Sasha Vujacic
2007,LAL,PHO,24,Andrew Bynum,Lamar Odom,Luke Walton,?,Smush Parker,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Maurice Evans
2007,LAL,PHO,25,Andrew Bynum,Lamar Odom,Luke Walton,?,Smush Parker,Boris Diaw,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,Maurice Evans
2007,LAL,PHO,31,Andrew Bynum,Lamar Odom,Luke Walton,?,Smush Parker,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Maurice Evans
2007,LAL,PHO,33,Andrew Bynum,Lamar Odom,Luke Walton,?,Smush Parker,Boris Diaw,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Maurice Evans
2007,LAL,PHO,36,Jordan Farmar,Lamar Odom,Luke Walton,?,Vladimir Radmanovic,Boris Diaw,Kurt Thomas,Leandro Barbosa,Marcus Banks,Raja Bell,Maurice Evans
2007,LAL,PHO,37,Brian Cook,Jordan Farmar,Lamar Odom,?,Vladimir Radmanovic,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Sasha Vujacic
2007,PHO,LAC,5,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,?,Steve Nash,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,Tim Thomas,Shawn Marion
2007,PHO,LAC,8,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,?,Steve Nash,Corey Maggette,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,Shawn Marion
2007,PHO,LAC,10,Amar'e Stoudemire,Leandro Barbosa,Marcus Banks,?,Steve Nash,Corey Maggette,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,Shawn Marion
2007,PHO,LAC,13,Amar'e Stoudemire,Boris Diaw,James Jones,?,Marcus Banks,Chris Kaman,Corey Maggette,Cuttino Mobley,Sam Cassell,Shaun Livingston,Leandro Barbosa
2007,PHO,LAC,15,Boris Diaw,James Jones,Leandro Barbosa,?,Shawn Marion,Chris Kaman,Cuttino Mobley,Sam Cassell,Shaun Livingston,Tim Thomas,Marcus Banks
2007,PHO,LAC,21,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,?,Steve Nash,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,Tim Thomas,Shawn Marion
2007,PHO,LAC,25,Kurt Thomas,Leandro Barbosa,Raja Bell,?,Steve Nash,Chris Kaman,Cuttino Mobley,Elton Brand,Quinton Ross,Shaun Livingston,Shawn Marion
2007,PHO,LAC,40,Amar'e Stoudemire,Boris Diaw,James Jones,?,Marcus Banks,Cuttino Mobley,Elton Brand,Sam Cassell,Shaun Livingston,Tim Thomas,Leandro Barbosa
2007,PHO,UTA,0,Kurt Thomas,Leandro Barbosa,Raja Bell,?,Steve Nash,Andrei Kirilenko,C.J. Miles,Carlos Boozer,Deron Williams,Mehmet Okur,Shawn Marion
2007,PHO,UTA,14,Amar'e Stoudemire,Boris Diaw,James Jones,?,Marcus Banks,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,Paul Millsap,Leandro Barbosa
2007,PHO,UTA,16,Boris Diaw,James Jones,Kurt Thomas,?,Marcus Banks,Andrei Kirilenko,Deron Williams,Matt Harpring,Mehmet Okur,Ronnie Brewer,Leandro Barbosa
2007,PHO,UTA,17,Boris Diaw,James Jones,Kurt Thomas,?,Marcus Banks,Andrei Kirilenko,Carlos Boozer,Deron Williams,Mehmet Okur,Ronnie Brewer,Leandro Barbosa
2007,PHO,UTA,22,Kurt Thomas,Leandro Barbosa,Raja Bell,?,Steve Nash,Carlos Boozer,Derek Fisher,Deron Williams,Matt Harpring,Mehmet Okur,Shawn Marion
2007,PHO,UTA,23,Kurt Thomas,Leandro Barbosa,Raja Bell,?,Steve Nash,Andrei Kirilenko,Derek Fisher,Gordan Giricek,Matt Harpring,Mehmet Okur,Shawn Marion
2007,PHO,UTA,34,Amar'e Stoudemire,James Jones,Leandro Barbosa,?,Shawn Marion,Andrei Kirilenko,Derek Fisher,Gordan Giricek,Jarron Collins,Matt Harpring,Marcus Banks
2007,PHO,UTA,42,Kurt Thomas,Leandro Barbosa,Raja Bell,?,Steve Nash,Andrei Kirilenko,Carlos Boozer,Deron Williams,Gordan Giricek,Matt Harpring,Shawn Marion
2007,LAC,PHO,6,Cuttino Mobley,Elton Brand,Sam Cassell,?,Tim Thomas,Amar'e Stoudemire,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Shaun Livingston
2007,LAC,PHO,11,Corey Maggette,Cuttino Mobley,Elton Brand,?,Tim Thomas,Amar'e Stoudemire,Boris Diaw,Leandro Barbosa,Marcus Banks,Shawn Marion,Shaun Livingston
2007,LAC,PHO,14,Chris Kaman,Corey Maggette,Cuttino Mobley,?,Tim Thomas,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Shaun Livingston
