season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,removed_player
2007,LAC,PHO,14,Chris Kaman,?,Cuttino Mobley,Shaun Livingston,Tim Thomas,Boris Diaw,James Jones,Kurt Thomas,Leandro Barbosa,Marcus Banks,Corey Maggette
2007,LAC,PHO,18,Chris Kaman,?,Daniel Ewing,Elton Brand,Sam Cassell,Boris Diaw,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,Corey Maggette
2007,LAC,PHO,20,Chris Kaman,?,Elton Brand,Quinton Ross,Sam Cassell,Amar'e Stoudemire,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,Corey Maggette
2007,LAC,PHO,23,Corey Maggette,?,Quinton Ross,Shaun Livingston,Tim Thomas,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Elton Brand
2007,LAC,PHO,24,Corey Maggette,?,Elton Brand,Shaun Livingston,Tim Thomas,Kurt Thomas,Leandro Barbosa,Marcus Banks,Shawn Marion,Steve Nash,Cuttino Mobley
2007,LAC,PHO,37,Chris Kaman,?,Cuttino Mobley,Shaun Livingston,Tim Thomas,Boris Diaw,James Jones,Marcus Banks,Raja Bell,Shawn Marion,Corey Maggette
2007,LAC,PHO,41,Chris Kaman,?,Cuttino Mobley,Shaun Livingston,Tim Thomas,Boris Diaw,Kurt Thomas,Leandro Barbosa,Raja Bell,Steve Nash,Corey Maggette
2007,SAS,PHO,7,Brent Barry,?,Robert Horry,Tim Duncan,Tony Parker,Boris Diaw,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,Michael Finley
2007,SAS,PHO,18,Beno Udrih,?,Fabricio Oberto,Tim Duncan,Tony Parker,Boris Diaw,Kurt Thomas,Leandro Barbosa,Marcus Banks,Steve Nash,Brent Barry
2007,SAS,PHO,22,Brent Barry,?,Manu Ginobili,Tim Duncan,Tony Parker,Amar'e Stoudemire,Jalen Rose,Leandro Barbosa,Shawn Marion,Steve Nash,Fabricio Oberto
2007,SAS,PHO,23,Brent Barry,?,Manu Ginobili,Tim Duncan,Tony Parker,Amar'e Stoudemire,Jalen Rose,Raja Bell,Shawn Marion,Steve Nash,Fabricio Oberto
2007,SAS,PHO,27,Bruce Bowen,?,Manu Ginobili,Tim Duncan,Tony Parker,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Fabricio Oberto
2007,SAS,PHO,31,Brent Barry,?,Robert Horry,Tim Duncan,Tony Parker,Boris Diaw,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,Bruce Bowen
2007,SAS,PHO,45,Brent Barry,?,Fabricio Oberto,Tim Duncan,Tony Parker,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Bruce Bowen
2007,SAS,PHO,46,Brent Barry,?,Manu Ginobili,Tim Duncan,Tony Parker,Kurt Thomas,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Fabricio Oberto
2007,PHO,DAL,0,Amar'e Stoudemire,?,Leandro Barbosa,Shawn Marion,Steve Nash,Devin Harris,Dirk Nowitzki,Erick Dampier,Jason Terry,Jerry Stackhouse,Boris Diaw
2007,PHO,DAL,13,Boris Diaw,?,Leandro Barbosa,Marcus Banks,Shawn Marion,Anthony Johnson,Devean George,Erick Dampier,Jason Terry,Jerry Stackhouse,Jalen Rose
2007,PHO,DAL,14,Amar'e Stoudemire,?,Jalen Rose,Leandro Barbosa,Shawn Marion,Anthony Johnson,DeSagana Diop,Devean George,Jason Terry,Jerry Stackhouse,Boris Diaw
2007,PHO,DAL,16,Amar'e Stoudemire,?,Jalen Rose,Leandro Barbosa,Shawn Marion,DeSagana Diop,Devin Harris,Dirk Nowitzki,Jason Terry,Jerry Stackhouse,Boris Diaw
2007,PHO,DAL,17,Amar'e Stoudemire,?,Leandro Barbosa,Shawn Marion,Steve Nash,DeSagana Diop,Devin Harris,Dirk Nowitzki,Jason Terry,Jerry Stackhouse,Jalen Rose
2007,PHO,DAL,22,Amar'e Stoudemire,?,Leandro Barbosa,Shawn Marion,Steve Nash,Anthony Johnson,Devean George,Dirk Nowitzki,Greg Buckner,Jerry Stackhouse,Boris Diaw
2007,PHO,DAL,25,Amar'e Stoudemire,?,Leandro Barbosa,Shawn Marion,Steve Nash,DeSagana Diop,Devin Harris,Dirk Nowitzki,Jason Terry,Jerry Stackhouse,Boris Diaw
2007,PHO,DAL,37,Boris Diaw,?,James Jones,Leandro Barbosa,Steve Nash,Anthony Johnson,Devean George,Erick Dampier,Greg Buckner,Jason Terry,Jalen Rose
2007,PHO,DAL,38,Amar'e Stoudemire,?,James Jones,Leandro Barbosa,Steve Nash,Anthony Johnson,Devean George,Erick Dampier,Greg Buckner,Jason Terry,Jalen Rose
2007,PHO,MEM,0,Amar'e Stoudemire,?,Leandro Barbosa,Shawn Marion,Steve Nash,Damon Stoudamire,Eddie Jones,Hakim Warrick,Mike Miller,Stromile Swift,Boris Diaw
2007,PHO,MEM,9,Boris Diaw,?,James Jones,Shawn Marion,Steve Nash,Dahntay Jones,Damon Stoudamire,Lawrence Roberts,Mike Miller,Rudy Gay,Jalen Rose
2007,PHO,MEM,13,Jalen Rose,?,Kurt Thomas,Leandro Barbosa,Shawn Marion,Chucky Atkins,Dahntay Jones,Eddie Jones,Lawrence Roberts,Rudy Gay,Jumaine Jones
2007,PHO,MEM,15,Jumaine Jones,?,Leandro Barbosa,Shawn Marion,Steve Nash,Chucky Atkins,Dahntay Jones,Eddie Jones,Lawrence Roberts,Rudy Gay,Kurt Thomas
2007,PHO,MEM,19,Amar'e Stoudemire,?,Leandro Barbosa,Shawn Marion,Steve Nash,Damon Stoudamire,Eddie Jones,Hakim Warrick,Mike Miller,Stromile Swift,Kurt Thomas
2007,PHO,MEM,23,Amar'e Stoudemire,?,Leandro Barbosa,Shawn Marion,Steve Nash,Damon Stoudamire,Eddie Jones,Hakim Warrick,Lawrence Roberts,Mike Miller,Kurt Thomas
2007,PHO,MEM,25,Amar'e Stoudemire,?,Leandro Barbosa,Shawn Marion,Steve Nash,Damon Stoudamire,Eddie Jones,Hakim Warrick,Lawrence Roberts,Mike Miller,Boris Diaw
2007,PHO,MEM,26,Amar'e Stoudemire,?,Leandro Barbosa,Shawn Marion,Steve Nash,Damon Stoudamire,Eddie Jones,Hakim Warrick,Mike Miller,Stromile Swift,Boris Diaw
2007,PHO,MEM,29,Amar'e Stoudemire,?,Leandro Barbosa,Shawn Marion,Steve Nash,Alexander Johnson,Dahntay Jones,Kyle Lowry,Lawrence Roberts,Rudy Gay,Boris Diaw
2007,PHO,MEM,30,Amar'e Stoudemire,?,Leandro Barbosa,Shawn Marion,Steve Nash,Dahntay Jones,Hakim Warrick,Kyle Lowry,Lawrence Roberts,Rudy Gay,Boris Diaw
2007,PHO,MEM,31,Amar'e Stoudemire,?,Jalen Rose,Shawn Marion,Steve Nash,Dahntay Jones,Hakim Warrick,Kyle Lowry,Lawrence Roberts,Rudy Gay,Boris Diaw
2007,PHO,MEM,35,Amar'e Stoudemire,?,Jalen Rose,Leandro Barbosa,Shawn Marion,Chucky Atkins,Dahntay Jones,Hakim Warrick,Lawrence Roberts,Rudy Gay,Boris Diaw
2007,PHO,PHI,0,Amar'e Stoudemire,?,Leandro Barbosa,Raja Bell,Shawn Marion,Allen Iverson,Andre Iguodala,Chris Webber,Kevin Ollie,Samuel Dalembert,Boris Diaw
2007,PHO,PHI,9,Amar'e Stoudemire,?,Leandro Barbosa,Raja Bell,Shawn Marion,Allen Iverson,Andre Iguodala,Chris Webber,Kyle Korver,Steven Hunter,Kurt Thomas
2007,PHO,PHI,13,Boris Diaw,?,Kurt Thomas,Leandro Barbosa,Marcus Banks,Andre Iguodala,Kyle Korver,Shavlik Randolph,Steven Hunter,Willie Green,Jalen Rose
2007,PHO,PHI,22,Amar'e Stoudemire,?,Marcus Banks,Raja Bell,Shawn Marion,Allen Iverson,Andre Iguodala,Kyle Korver,Steven Hunter,Willie Green,Leandro Barbosa
