player_name,quality_score,normalized_score
LeBron James,1827.634,1.0
Joe Johnson,1655.768,0.9059625723749941
Dirk Nowitzki,1631.367,0.8926114309538999
Tim Duncan,1628.9770000000003,0.8913037293024754
Dwight Howard,1623.504,0.8883091472362628
Andre Iguodala,1610.2459999999999,0.8810549595816229
Chris Bosh,1604.8350000000003,0.8780943011565774
Carlos Boozer,1601.1070000000002,0.8760545054425559
Josh Smith,1597.202,0.8739178632045584
Tayshaun Prince,1595.2660000000003,0.8728585701513543
Luol Deng,1575.409,0.8619937033344751
Deron Williams,1570.535,0.8593268674143729
Monta Ellis,1560.673,0.8539308198468621
Pau Gasol,1554.635,0.8506270949216309
LaMarcus Aldridge,1550.89,0.8485779975640637
Carmelo Anthony,1548.4360000000001,0.847235277960467
Rudy Gay,1546.817,0.8463494332016147
Paul Pierce,1545.0769999999998,0.8453973826269372
Kobe Bryant,1509.8980000000001,0.8261489991978701
Tony Parker,1493.687,0.8172790613437919
Zach Randolph,1462.911,0.8004398035930608
Al Jefferson,1452.2450000000001,0.7946038430013888
Kevin Durant,1424.494,0.7794197306462891
Mike Conley,1418.792,0.7762998499699612
Shawn Marion,1406.0930000000003,0.7693515222413242
Samuel Dalembert,1385.101,0.757865633928894
Kevin Garnett,1378.77,0.7544015924413751
Steve Nash,1368.885,0.7489929602973024
Kendrick Perkins,1361.816,0.7451251180487997
Jameer Nelson,1351.153,0.7392907989236357
Dwyane Wade,1344.993,0.7359203210270765
Marc Gasol,1320.879,0.7227262132352539
Russell Westbrook,1314.329,0.7191423446926463
Rajon Rondo,1295.4990000000003,0.7088394065770282
David Lee,1293.291,0.7076312872270925
Chris Paul,1292.243,0.7070578682602753
Al Horford,1271.498,0.6957071273570091
Marvin Williams,1269.1370000000002,0.6944152932151624
Joakim Noah,1268.719,0.6941865822150387
Andrew Bogut,1257.5810000000001,0.6880923642260979
Caron Butler,1254.2730000000001,0.6862823738232053
Roy Hibbert,1251.173,0.684586191764872
Nene Hilario,1233.439,0.6748829360801999
Amar'e Stoudemire,1202.922,0.6581853916046648
David West,1192.2990000000002,0.6523729586996084
Derek Fisher,1179.391,0.6453102754709095
DeAndre Jordan,1176.669,0.6438209181925922
Stephen Curry,1170.0919999999999,0.6402222764514119
Shane Battier,1161.175,0.6353432908339416
Kevin Martin,1160.306,0.6348678127021056
Jose Calderon,1158.06,0.6336389014430679
Luis Scola,1155.3880000000001,0.6321769019398852
Arron Afflalo,1138.703,0.6230476123775329
Kirk Hinrich,1130.544,0.6185833706311001
Nicolas Batum,1118.782,0.6121477276084818
Thabo Sefolosha,1113.5070000000003,0.6092614823318018
Chauncey Billups,1108.434,0.6064857624666645
Tyson Chandler,1101.4330000000002,0.6026551267923448
Paul Millsap,1100.917,0.6023727945529574
DeMar DeRozan,1100.68,0.6022431186988205
Blake Griffin,1096.89,0.6001693993436323
Jason Kidd,1089.5059999999999,0.5961292031117827
Grant Hill,1087.563,0.5950660799700597
Hedo Turkoglu,1085.711,0.5940527479790811
Mo Williams,1085.1870000000001,0.5937660384956727
Jason Thompson,1083.811,0.5930131525239736
Richard Jefferson,1067.038,0.5838357132773848
Andre Miller,1065.426,0.5829536986070515
Jeff Green,1061.171,0.5806255519431134
Jason Richardson,1060.154,0.5800690947968794
Anthony Parker,1059.116,0.5795011473850892
Metta World Peace,1058.788,0.5793216803802074
Antawn Jamison,1035.4940000000001,0.5665762401005892
Marcus Camby,1031.138,0.5641928307308793
